hypothesis,evidences,label
"Patients must have ductal carcinoma, that can be felt by touch to be eligible for NCT02550210.","[""Inclusion Criteria:"", ""  Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ""]",Contradiction
"One patient in NCT02187744 suffered from sepsis, due to the presence of an implanted device.","[""Adverse Events 1:"", ""  Device related sepsis 1/113 (0.88%)""]",Entailment
"the percentage of participants achieving complete response (CR) or partial response (PR) was much lower in the HER2-positive group in NCT02260531,than in the ER+ and/or PR+ group.","[""Outcome Measurement: "", ""  CNS Objective Response Rate (ORR)"", ""  The central nervous system (CNS) ORR was defined as the percentage of participants achieving complete response (CR) or partial response (PR) based on RECIST 1.1 criteria in the evaluation CNS lesions on treatment: CR is complete disappearance of all target lesions and PR is at least a 30% decrease in the sum of longest diameter (LD) of target lesions, taking as reference baseline sum LD. PR or better overall response assumes at a minimum incomplete response/stable disease (SD) for the evaluation of non-target lesions and absence of new lesions."", ""  Time frame: Disease assessments occurred every 6 cycles. Patients with stable or responsive disease after completion of 6 cycles could reduce frequency of assessments to every 3 cycles. Response was evaluated up to 25 months."", ""Results 1: "", ""  Arm/Group Title: Cohort 1 - Cabozantinib, Trastuzumab for HER2+"", ""  Arm/Group Description: HER2-positive"", ""  Cabozantinib- orally administered daily per treatment cycle"", ""  Trastuzumab- IV administered once per cycle"", ""  MRI- Baseline, Cycle 2 Day 1, and every 2 cycles"", ""  Magnetic Resonance Angiography (MRA ), Baseline, Cycle 2 Day 1,"", ""  Cabozantinib: One, 60 mg tablet daily of each 21 day cycle. Number of Cycles: until progression or unacceptable toxicity develops."", ""  Trastuzumab: For HER2-Positive participants only. Administered by IV on day 1 of each 21 day cycle. Number of Cycles: until progression or unacceptable toxicity develops."", ""  Overall Number of Participants Analyzed: 21"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  5        (.2 to 24)"", ""Results 2: "", ""  Arm/Group Title: Cohort 2 - Cabozantinib for ER+ and/or PR+"", ""  Arm/Group Description: Hormone receptor-positive (ER+ and/or PR+)"", ""  Cabozantinib- orally administered daily per treatment cycle"", ""  MRI- Baseline, Cycle 2 Day 1, and every 2 cycles"", ""  Magnetic Resonance Angiography (MRA ), Baseline, Cycle 2 Day 1,"", ""  Cabozantinib: One, 60 mg tablet daily of each 21 day cycle. Number of Cycles: until progression or unacceptable toxicity develops."", ""  Overall Number of Participants Analyzed: 7"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  14        (.4 to 58)""]",Entailment
Patients with an ECOG score between 3-5 are eligible for NCT00295867.,"[""Inclusion Criteria"", ""  Women > 18 years of age with histologically or cytologically confirmed stage I, II or III breast cancer."", ""  If adjuvant chemotherapy is recommended, it must be completed before study start."", ""  Bone marrow aspirate positive by IC/FC assay"", ""  a. Definition of positive: > 4 MM/ml b. Timing of bone marrow aspiration to determine study eligibility: i. If patient is to receive either no adjuvant therapy or hormonal therapy alone, the aspiration may be performed at diagnosis as part of the large MM study at University of California, San Francisco, or following diagnosis if the patient received initial surgery elsewhere. This is also true for patients who have surgery following neoadjuvant therapy for breast cancer."", ""  ii. If the patient is to receive adjuvant chemotherapy, the aspiration will be performed at least three weeks after chemotherapy has been completed."", ""  Adequate renal function as defined by:"", ""  a. Creatinine must be < upper limit of normal"", ""  Normal liver function tests including total bilirubin, alkaline phosphatase, and aspartate aminotransferase (AST) / serum glutamic-oxaloacetic transaminase (SGOT)"", ""  Ability to understand and sign informed consent."", ""  Concomitant hormonal therapy is allowed"", ""  Concomitant radiation therapy is allowed"", ""  Patients who have had surgery following neoadjuvant chemotherapy or hormonal therapy are eligible to participate in this trial"", ""  Exclusion Criteria"", ""  History of allergy to bisphosphonates. Acute phase reactions occur in up to 24% of patients and disappear with subsequent dosing. An acute phase reaction does not qualify as an allergic reaction."", ""  History of renal insufficiency. Renal insufficiency is defined by a serum creatinine greater than the upper limit of normal or a creatinine clearance < 50 mL/min due to any underlying cause."", ""  Karnofsky Performance status < 90%."", ""  Any significant medical condition that might interfere with treatment."", ""  Women participating in this study are not allowed to receive other bisphosphonate therapy during the study period, either oral or intravenous."", ""  Patients who are pregnant""]",Contradiction
"NCT01237327 and NCT00030823 do not have any overlapping inclusion criteria, apart from the mimimum age limit of 18.","[""Inclusion Criteria:"", ""  Previous participation in study 971-ONC-0028-080."", ""Exclusion Criteria:"", ""  Subjects who had not previously participated in study 971-ONC-0028-080.""]",Contradiction
" To be eligible for both NCT00853996 and NCT00365417 patients must satisfy all the following conditions; alkaline phosphatase  < 2 x ULN, aspartate aminotransferase  <= 1.5 x ULN and Hemoglobin > 10 g/dL.","[""  The following criteria for evidence of adequate hepatic function must be met:"", ""  alkaline phosphatase must be less than 2.5 x ULN for the lab; and"", ""  aspartate aminotransferase (AST) must be less than/equal to 1.5 x ULN for the lab."", ""  Platelet count must be greater than/equal to 100,000/mm^3."", ""  Hemoglobin must be greater than/equal to 10 g/dL.""]",Entailment
"A total of 2/93 patients in NCT00444587 were observed with either Leukopenia, Cardiopulmonary failure or Diarrhoea.","[""  Leukopenia 2/93 (2.15%)"", ""  Cardiopulmonary failure 2/93 (2.15%)"", ""  Diarrhoea 3/93 (3.23%)""]",Contradiction
Patients with invasive breast cancer with a diameter of less than 4 cm are included in NCT02321527.,"[""  Ipsilateral biopsy-proven invasive breast cancer <5 cm in maximal dimension by Ultrasound or Mammography.""]",Entailment
The only type of adverse event recorded by both NCT00728949 and NCT02301988 is Diarrhoea and Abdominal pain.,"[""Adverse Events 1:"", ""  Total: 10/76 (13.16%)"", ""  Sickle cell anaemia with crisis 1/76 (1.32%)"", ""  Diarrhoea 1/76 (1.32%)"", ""  Pyrexia 1/76 (1.32%)"", ""  Chest pain 1/76 (1.32%)"", ""  Complication associated with device 1/76 (1.32%)"", ""  General physical health deterioration 0/76 (0.00%)"", ""  Device related infection 2/76 (2.63%)"", ""  Pneumonia 1/76 (1.32%)"", ""  Atypical pneumonia 1/76 (1.32%)"", ""  Dehydration 1/76 (1.32%)"", ""Adverse Events 2:"", ""  Total: 3/75 (4.00%)"", ""  Sickle cell anaemia with crisis 0/75 (0.00%)"", ""  Diarrhoea 0/75 (0.00%)"", ""  Pyrexia 1/75 (1.33%)"", ""  Chest pain 0/75 (0.00%)"", ""  Complication associated with device 0/75 (0.00%)"", ""  General physical health deterioration 1/75 (1.33%)"", ""  Device related infection 0/75 (0.00%)"", ""  Pneumonia 1/75 (1.33%)"", ""  Atypical pneumonia 0/75 (0.00%)"", ""  Dehydration 0/75 (0.00%)""]",Contradiction
In total NCT00375427 recorded only 1 more case of Mucosal inflammation than NCT01008150.,"[""Adverse Events 1:"", ""  Total: 7/42 (16.67%)"", ""  Febrile neutropenia 1/42 (2.38%)"", ""  Left venrticular dysfunction 1/42 (2.38%)"", ""  Cardiac valve disease 1/42 (2.38%)"", ""  Diarrhoea 0/42 (0.00%)"", ""  Abdominal pain 1/42 (2.38%)"", ""  Colitis 0/42 (0.00%)"", ""  Nausea 0/42 (0.00%)"", ""  Vomiting 0/42 (0.00%)"", ""  Pyrexia 0/42 (0.00%)"", ""  Influenza like illness 1/42 (2.38%)"", ""  Oedema peripheral 1/42 (2.38%)"", ""  Fatigue 0/42 (0.00%)"", ""Adverse Events 2:"", ""  Total: 7/42 (16.67%)"", ""  Febrile neutropenia 0/42 (0.00%)"", ""  Left venrticular dysfunction 1/42 (2.38%)"", ""  Cardiac valve disease 0/42 (0.00%)"", ""  Diarrhoea 0/42 (0.00%)"", ""  Abdominal pain 0/42 (0.00%)"", ""  Colitis 0/42 (0.00%)"", ""  Nausea 0/42 (0.00%)"", ""  Vomiting 0/42 (0.00%)"", ""  Pyrexia 2/42 (4.76%)"", ""  Influenza like illness 0/42 (0.00%)"", ""  Oedema peripheral 0/42 (0.00%)"", ""  Fatigue 0/42 (0.00%)""]",Entailment
"A higher percentage of cohort 1 of NCT00828074 showed signs of fever, compared to cohort 2.","[""Adverse Events 1:"", ""  Fever * 2/41 (4.88%)"", ""Adverse Events 2:"", ""  Fever * 0/5 (0.00%)""]",Entailment
Patients suffering from Ulcerative colitis are excluded from NCT00876395.,"[""Exclusion Criteria:"", ""  Impairment of gastrointestinal (GI) function or GI disease or active ulceration of the upper gastrointestinal tract.""]",Entailment
"histologically confirmed extensive intraductal component of primary breast carcinoma would result in exclusion from NCT01581619, but not from NCT01008150.","[""Exclusion Criteria:"", ""  No histologic evidence of EIC""]",Entailment
Patients with No QT prolongation are excluded from NCT00482391.,"[""  No QT prolongation (> 500 ms)""]",Contradiction
"WOCBP that refuse to use contraception are excluded from NCT00045032, but may be eligible for NCT00416572 if they are a UK resident.","[""  Women of childbearing potential or less than 1 year post-menopause unwilling to use adequate contraceptive measures""]",Contradiction
NCT03283553 and NCT03283553 have a different number of cohorts.,"[""INTERVENTION 1: "", ""  Multicomponent Intervention"", ""  1.) A one-page paper-pencil agenda setting checklist completed immediately before a regularly scheduled medical oncology visit to elicit and align patient and companion perspectives regarding issues to discuss with the provider, and to stimulate discussion about the role of the companion in the visit, 2.) facilitated registration for the patient portal (for patient and family member, as desired by the patient), and 3.) education (as relevant) on access to doctor's electronic visit notes."", ""INTERVENTION 2: "", ""  Usual Care"", ""  Care as usual with the medical oncologist.""]",Contradiction
Cohort 2 of NCT00633464 reported worse results than cohort 1.,"[""Outcome Measurement: "", ""  Percentage of Participants With Objective Response (OR; Using Response Evaluation Criteria in Solid Tumors [RECIST])"", ""  The participant had an OR if her best overall response (BOR) during the study was either a complete response (CR) or a partial response (PR) according to the RECIST as determined by the investigator. CR: Disappearance of all evidence of target and non-target lesions. PR: At least 30% reduction from baseline in the sum of the longest diameter (LD) of all target lesions. Confidence interval (CI) was Computed using Clopper-Pearson method."", ""  Time frame: Assessed every 6 weeks for first 12 months from randomization thereafter every 3 months until disease progression (maximum participant objective response of 18.3 weeks)"", ""Results 1: "", ""  Arm/Group Title: Ixabepilone 40 mg/m^2"", ""  Arm/Group Description: ixabepilone 40 mg/m^2 every 3 weeks"", ""  Overall Number of Participants Analyzed: 40"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  30.0        (16.6 to 46.5)"", ""Results 2: "", ""  Arm/Group Title: Cetuximab 250 mg/m^2 + Ixabepilone 40 mg/m^2"", ""  Arm/Group Description: cetuximab 400 mg/m^2 loading dose then 250 mg/m^2 weekly + ixabepilone 40 mg/m^2 every 3 weeks"", ""  Overall Number of Participants Analyzed: 39"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participants  35.9        (21.2 to 52.8)""]",Contradiction
Patients that have previously been trated with bevacizumab are not eligible for NCT00479674.,"[""Exclusion Criteria:"", ""  Prior treatment with Abraxane\u00ae, carboplatin or bevacizumab, or any taxane for metastatic breast cancer;""]",Entailment
"Anna is a 57 year old female with an ECOG of 0, diagnosed with an invasive adenocarcinoma of the breast, IHC results were 1+. She is eligible for NCT00464646.","[""Inclusion Criteria:"", ""  Patients must be female."", ""  The patient must be greater than or equal to 18 years old."", ""  The patient's ECOG performance status must be 0 or 1."", ""  The tumor must be invasive adenocarcinoma of the breast on histologic examination."", ""  The breast cancer must be determined to be HER2-positive prior to study entry. Assays performed using FISH require gene amplification. Assays using IHC require a strongly positive (3+) staining score."", ""  By pathologic evaluation, ipsilateral nodes must be pN2 or pN3.""]",Contradiction
Across all cohorts of NCT00365599 and NCT01856543 there was only a single recorded case of Myocarditis and Thrombosis.,"[""Adverse Events 1:"", ""  Total: 3/73 (4.11%)"", ""  Chest Pain - cardiac  1/73 (1.37%)"", ""  Myocarditis  1/73 (1.37%)"", ""  Pericarditis  1/73 (1.37%)"", ""  Ventricular tachycardia  1/73 (1.37%)"", ""  Skin infection  0/73 (0.00%)"", ""  Dermatitis radiation  0/73 (0.00%)"", ""  Dyspnea  1/73 (1.37%)"", ""Adverse Events 2:"", ""  Total: 3/70 (4.29%)"", ""  Chest Pain - cardiac  0/70 (0.00%)"", ""  Myocarditis  0/70 (0.00%)"", ""  Pericarditis  0/70 (0.00%)"", ""  Ventricular tachycardia  0/70 (0.00%)"", ""  Skin infection  2/70 (2.86%)"", ""  Dermatitis radiation  1/70 (1.43%)"", ""  Dyspnea  0/70 (0.00%)""]",Contradiction
A patient in NCT01705691 suffered from Kidney stones.,"[""Adverse Events 2:"", ""  Nephrolithiasis 1/30 (3.33%)""]",Entailment
"Participants for NCT02222337 must be in pairs, a breast cancer survivor and a caregiver, both must be ethnically Hispanic.","[""Inclusion Criteria:"", ""  Survivors: Latina, has been diagnosed with breast cancer, speaks English or Spanish, has a Caregiver who is willing to participate."", ""  Caregivers: a primary caregiver for a Latina breast cancer survivor, speak English or Spanish""]",Contradiction
Any patient can enter into NCT04396665 as long as they are willing to provide Informed consent and are capable of using the internet.,"[""Inclusion Criteria:"", ""  Informed consent signed"", ""  Capability to use internet"", ""Exclusion Criteria:"", ""  Breast cancer diagnosis duting the intervention""]",Entailment
"By week 48 of NCT01743560 the majority of patients had Stable Disease, none of them had complete or partial response.","[""Outcome Measurement: "", ""  Best Overall Response of Everolimus and Exemestane Treatment in Postmenopausal Women With Hormone Receptor Positive Locally Advanced or Metastatic Breast Cancer"", ""  The best Overall Response (OR) for each patient is determined from the sequence of investigator overall lesion responses according to Response Evaluation Criteria in Solid Tumors (RECIST 1.1.). To be assigned a best OR of Complete Responese (CR) at least two determinations of CR at least 4 weeks apart before progression are required. To be assigned a best OR of Partial Response (PR) at least two determinations of PR or better at least 4 weeks apart before progression (and not qualifying for a CR) are required.The Overall Response Rate (ORR) was defined as the proportion of patients with a best OR of confirmed CR or PR by week 48."", ""  Time frame: At 48 weeks"", ""Results 1: "", ""  Arm/Group Title: Everolimus and Exemestane"", ""  Arm/Group Description: Postmenopausal women diagnosed with oestrogen receptor positive locally advanced or metastatic breast cancer will receive everolimus at a dose of 10mg daily p.o. and exemestane 25mg daily p.o."", ""  Overall Number of Participants Analyzed: 49"", ""  Measure Type: Number"", ""  Unit of Measure: participants  Patients with measurable disease at baseline: 39"", ""  Patients with non-measurable disease at baseline: 10"", ""  Best at WK 48 - Complete Response (CR): 0"", ""  Best at WK 48 - Partial Response (PR): 7"", ""  Best at WK 48 - Stable Disease (SD): 18"", ""  Best at WK 48 - Progressive Disease (PD): 15"", ""Unknown: 1"", ""Missing: 8""]",Contradiction
Patients with prior chemotherapy are excluded from NCT00193206 and NCT02511730.,"[""Inclusion Criteria:"", ""  Female subjects participating in FMSU004A protocol with known clinical status"", ""Exclusion Criteria:"", ""  Subjects with unknown clinical status not participating in FMSU004A protocol.""]",Contradiction
Patients with irrational fear of confined spaces are not elligible for NCT01823991.,"[""Exclusion Criteria:"", ""  Known claustrophobia, presence of pacemaker and/or ferromagnetic material in their body that would prohibit MRI imaging""]",Entailment
There was twice as many Cardiac adverse events as cases of Dyspnea in cohort 1 of NCT01273896.,"[""Adverse Events 1:"", ""  Cardiac General, other1/22 (4.55%)"", ""  Dyspnea (shortness of breath)2/22 (9.09%)""]",Contradiction
NCT01840163 and NCT02005549 do not exclude patients with non-melanoma skin cancer.,"[""Inclusion Criteria:"", ""  Stage 1-2 invasive breast cancer diagnosis,"", ""  DCIS"", ""  Ability to read English"", ""Exclusion Criteria:"", ""Male""]",Entailment
There was one GU and three GI adverse events recorded in NCT00290758.,"[""Adverse Events 1:"", ""  Total: 6/62 (9.68%)"", ""  Musculoskeletal * 1/62 (1.61%)"", ""  Mood Alteration: Depression * 1/62 (1.61%)"", ""  renal - Other * 1/62 (1.61%)"", ""  Obstruction, GU: Uterus * 1/62 (1.61%)"", ""  Sexual * 0/62 (0.00%)"", ""  Pulmonary/Upper Respiratory: Dyspnea * 1/62 (1.61%)"", ""  Ulceration * 1/62 (1.61%)"", ""Adverse Events 2:"", ""  Total: 1/64 (1.56%)"", ""  Musculoskeletal * 0/64 (0.00%)"", ""  Mood Alteration: Depression * 0/64 (0.00%)"", ""  renal - Other * 0/64 (0.00%)"", ""  Obstruction, GU: Uterus * 0/64 (0.00%)"", ""  Sexual * 1/64 (1.56%)"", ""  Pulmonary/Upper Respiratory: Dyspnea * 0/64 (0.00%)"", ""  Ulceration * 0/64 (0.00%)""]",Contradiction
The majority of patients in NCT00182793 experienced an adverse event.,"[""Adverse Events 1:"", ""  Total: 24/32 (75.00%)""]",Entailment
Patients must have already participated in a specific clinical study to participate in NCT00971945.,"[""Inclusion Criteria:"", ""  Subjects who were confirmed to have a response after receiving at least two courses of weekly paclitaxel therapy and considered to need to continue the therapy by the investigator/subinvestigator among the patients with advanced or recurrent breast cancer who had met the selection criteria and participated in the preceding phase II clinical study""]",Entailment
All of the adverse event cases in NCT00074152 occurred in patients from cohort 2.,"[""Adverse Events 1:"", ""  Total: 0/77 (0.00%)"", ""  Neutropenia  [1]0/77 (0.00%)"", ""  Left ventricular dysfunction 0/77 (0.00%)"", ""  Cardiac ischemia 0/77 (0.00%)"", ""  Gastrointestinal pain 0/77 (0.00%)"", ""  Colitis 0/77 (0.00%)"", ""  Febrile neutropenia 0/77 (0.00%)"", ""  Pulmonary/upper respiratory infection 0/77 (0.00%)"", ""  Diverticulitis 0/77 (0.00%)"", ""  Motor neuropathy 0/77 (0.00%)"", ""  Endometrial mucosa thinkening 0/77 (0.00%)"", ""Adverse Events 2:"", ""  Total: 12/85 (14.12%)"", ""  Neutropenia  [1]1/85 (1.18%)"", ""  Left ventricular dysfunction 1/85 (1.18%)"", ""  Cardiac ischemia 2/85 (2.35%)"", ""  Gastrointestinal pain 1/85 (1.18%)"", ""  Colitis 1/85 (1.18%)"", ""  Febrile neutropenia 3/85 (3.53%)"", ""  Pulmonary/upper respiratory infection 1/85 (1.18%)"", ""  Diverticulitis 1/85 (1.18%)"", ""  Motor neuropathy 1/85 (1.18%)"", ""  Endometrial mucosa thinkening 1/85 (1.18%)""]",Entailment
There was less than a 5% difference in the Percentage of Participants With Objective Response in the GTx-024 9 mg and GTx-024 18 mg group in NCT02463032.,"[""Outcome Measurement: "", ""  Clinical Benefit Rate, in Centrally Confirmed Androgen Receptor (AR)+ Subjects"", ""  To estimate the clinical benefit rate (defined as complete response, partial response, or stable disease) according to RECIST 1.1, in subjects with estrogen receptor positive/androgen receptor positive (ER+/AR+) BC who have centrally confirmed AR+ status. Per Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.1) for target lesions assessed by CT or MRI: Complete Response (CR), Disappearance of all target lesions; Partial Response (PR), >=30% decrease in the sum of the longest diameter of target lesions; Overall Response (OR) = CR + PR; Clinical Benefit Rate (CBR)= CR + PR + SD."", ""  Time frame: 24 weeks"", ""Results 1: "", ""  Arm/Group Title: GTx-024 9 mg"", ""  Arm/Group Description: Drug: GTx-024 GTx-024 softgel capsules will be administered once daily to a total dose of 9 mg"", ""  GTx-024: To determine whether either or both doses result in an acceptable clinical benefit rate."", ""  Overall Number of Participants Analyzed: 50"", ""  Measure Type: Number"", ""  Unit of Measure: participants  16"", ""Results 2: "", ""  Arm/Group Title: GTx-024 18 mg"", ""  Arm/Group Description: Drug: GTx-024 GTx-024 softgel capsules will be administered once daily to a total dose of 18 mg"", ""  GTx-024: To determine whether either or both doses result in an acceptable clinical benefit rate."", ""  Overall Number of Participants Analyzed: 52"", ""  Measure Type: Number"", ""  Unit of Measure: participants  15""]",Contradiction
"A patient was treated with Pertuzumab for 6 months, and this treatment was discontinued 2 months prior to study entry and the patient has fully recovered from the entailing side effects, hence this patient is eligible for NCT02027376.","[""Exclusion Criteria:"", ""  Patients who have received biologic therapy (e.g. antibodies)  4 weeks prior to starting study drug or who have not recovered from the side effects of such therapy.""]",Entailment
"Patients with HER2 + breast cancer are eligible for both NCT02419807 and NCT00777101. However, only patients with stage 1-2 breast cancer are eligible for NCT02419807, and patients with stage 3-4 are eligilbe for NCT00777101. ","[""Inclusion Criteria:"", ""  Participants with a confirmed diagnosis of clinical stage 1 or 2 breast cancer""]",Entailment
NCT01989676 only records cardiovasuclar adverse events.,"[""Adverse Events 1:"", ""  Total: 67/349 (19.20%)"", ""  Anaemia * 3/349 (0.86%)"", ""  Leukopenia * 1/349 (0.29%)"", ""  Neutropenia * 3/349 (0.86%)"", ""  Thrombocytopenia * 1/349 (0.29%)"", ""  Atrial fibrillation * 2/349 (0.57%)"", ""  Cardiac arrest * 1/349 (0.29%)"", ""  Cardiac failure * 0/349 (0.00%)"", ""  Cardiac failure acute * 0/349 (0.00%)"", ""  Cardio-respiratory arrest * 2/349 (0.57%)"", ""  Cardiovascular insufficiency * 0/349 (0.00%)""]",Entailment
"Patients in NCT01830933 do not receive any extra medication for the study, whereas in NCT01224678 they are given an oral medication.","[""INTERVENTION 1: "", ""  Usual Care"", ""  Usual Care is the comparison Clinic Patients, where there is no change in their standard or usual care."", ""INTERVENTION 2: "", ""  BreastCARE Intervention"", ""  Intervention Clinic Patients: The participants will answer questions on the tablet-PC to calculate their breast cancer risk."", ""  Intervention Patient Report. Once the patient completes the BreastCare Computer survey, the program will immediately generate a personal feedback report containing information about her risk factors and recommendations to reduce her risk. This report will be printed and given to the patients before she meets with her doctor."", ""  BreastCARE : The physician will receive a physician report that contains information similar to the patient report.""]",Entailment
Participants with T2 N1 M0 breast carcinoma are eligible for NCT03004534.,"[""  Tumor must be confined to either the breast or to the breast and ipsilateral axilla (Note: patinets with multifocal/multicentric tumors are eligible). Patient must have (according to TNM 7th edition rules):"", ""  T1 with T 1.0cm, T2 or T3 by at least one radiographic or clinical measurement"", ""  Either clinically positive (N1 only) or clinically negative axillary nodes (N0)"", ""  M0""]",Entailment
There are no cases of Febrile neutropenia in NCT00929240.,"[""Adverse Events 1:"", ""  Total: 78/284 (27.46%)"", ""  Febrile neutropenia * 28/284 (9.86%)"", ""  Neutropenia * 217/284 (5.99%)"", ""  Leukopenia * 23/284 (1.06%)"", ""  Anaemia * 22/284 (0.70%)"", ""  Thrombocytopenia * 20/284 (0.00%)"", ""  Myocardial infarction * 20/284 (0.00%)"", ""  Arrhythmia * 21/284 (0.35%)"", ""  Atrial fibrillation * 1/284 (0.35%)"", ""  Coronary artery disease * 20/284 (0.00%)"", ""  Left ventricular dysfunction * 21/284 (0.35%)"", ""Adverse Events 2:"", ""  Total: 7/92 (7.61%)"", ""  Febrile neutropenia * 0/92 (0.00%)"", ""  Neutropenia * 20/92 (0.00%)"", ""  Leukopenia * 20/92 (0.00%)"", ""  Anaemia * 20/92 (0.00%)"", ""  Thrombocytopenia * 20/92 (0.00%)"", ""  Myocardial infarction * 20/92 (0.00%)"", ""  Arrhythmia * 20/92 (0.00%)"", ""  Atrial fibrillation * 0/92 (0.00%)"", ""  Coronary artery disease * 20/92 (0.00%)"", ""  Left ventricular dysfunction * 20/92 (0.00%)""]",Contradiction
"Paula recently had fell down a flight of stairs and fractured her hip, she is excluded from NCT00494481.","[""Inclusion Criteria:"", ""  Females with histological/cytological confirmation of breast cancer."", ""  Subjects with a measurable lesion or bone lesions"", ""Exclusion Criteria:"", ""  Previous radiotherapy within 6 weeks"", ""  Significant cardiac events, arrhythmias or other cardiac conditions""]",Contradiction
Patients with HER2 negative MBC are eligible for both NCT00593827 and NCT00478257.,"[""Inclusion Criteria:"", ""  Has MBC that is measurable by RECIST or has nonmeasurable disease with serum CA27.29 (or CA15.3)  50"", ""  Has Human Epidermal Growth Factor Receptor 2 (HER2) negative breast cancer""]",Contradiction
NCT00423917 and NCT00082641 both report cases of confusion in their patient cohorts.,"[""Adverse Events 1:"", ""  Confusion 1/33 (3.03%)""]",Entailment
No cases of Metastasis to the CNS were recorded in NCT02001974.,"[""Adverse Events 1:"", ""  Total: 2/4 (50.00%)"", ""  Abdominal pain 0/4 (0.00%)"", ""  Disease progression 0/4 (0.00%)"", ""  Dehydration 2/4 (50.00%)"", ""  Hyponatraemia 1/4 (25.00%)"", ""  Metastasis to central nervous system 1/4 (25.00%)"", ""  Oesophageal adenocarcinoma 0/4 (0.00%)"", ""  Intracranial hypotension 0/4 (0.00%)"", ""  Pneumothorax 0/4 (0.00%)"", ""  Dyspnoea 0/4 (0.00%)"", ""  Hypoxia 0/4 (0.00%)"", ""Adverse Events 2:"", ""  Total: 1/3 (33.33%)"", ""  Abdominal pain 0/3 (0.00%)"", ""  Disease progression 0/3 (0.00%)"", ""  Dehydration 0/3 (0.00%)"", ""  Hyponatraemia 0/3 (0.00%)"", ""  Metastasis to central nervous system 0/3 (0.00%)"", ""  Oesophageal adenocarcinoma 0/3 (0.00%)"", ""  Intracranial hypotension 0/3 (0.00%)"", ""  Pneumothorax 1/3 (33.33%)"", ""  Dyspnoea 0/3 (0.00%)"", ""  Hypoxia 0/3 (0.00%)""]",Contradiction
"Patients must have a confirmed pregnancy by positive Hcg test, if they are to take part in NCT01004744.","[""  Postmenopausal status defined as cessation of menses for >1 year or FSH > 20 mIU/mL (within the past month)""]",Contradiction
Cohort 1 of NCT00246090 0.0015% less total adverse events than cohort 2 of NCT00266799.,"[""Adverse Events 1:"", ""  Total: 88/291 (30.24%)""]",Contradiction
A 55 year old postmenopausal patient with sarcoidosis would be excluded from NCT00553410 as it would prevent prevent prolonged follow-up.,"[""DISEASE CHARACTERISTICS:"", ""  Confirmed diagnosis of prior operable, noninflammatory breast cancer meeting the following criteria:"", ""  Steroid hormone receptor-positive tumors (estrogen receptor and/or progesterone receptor), determined by immunohistochemistry, after primary surgery and before commencement of prior endocrine therapy"", ""  Prior local treatment including surgery with or without radiotherapy for primary breast cancer with no known clinical residual loco-regional disease"", ""  Following primary surgery, eligible patients must have had evidence of lymph node involvement either in the axillary or internal mammary nodes, but not supraclavicular nodes"", ""  Clinically disease-free"", ""  Must have completed 4-6 years of prior adjuvant selective estrogen receptor modulators (SERMs), aromatase inhibitors (AIs), or a sequential combination of both"", ""  When calculating 4-6 years, neoadjuvant endocrine therapy should not be included"", ""  No evidence of recurrent disease or distant metastatic disease"", ""  No prior bilateral breast cancer"", ""  PATIENT CHARACTERISTICS:"", ""  Female"", ""  Must be postmenopausal by any of the following criteria:"", ""  Patients of any age who have had a bilateral oophorectomy (including radiation castration AND amenorrheic for > 3 months)"", ""  Patients 56 years old or older with any evidence of ovarian function must have biochemical evidence of definite postmenopausal status (defined as estradiol, luteinizing hormone [LH], and follicle-stimulating hormone [FSH] in the postmenopausal range)"", ""  Patients 55 years old or younger must have biochemical evidence of definite postmenopausal status (defined as estradiol, LH, and FSH in the postmenopausal range)"", ""  Patients who have received prior luteinizing-hormone releasing-hormone (LHRH) analogues within the last year are eligible if they have definite evidence of postmenopausal status as defined above"", ""  Clinically adequate hepatic function"", ""  No bone fracture due to osteoporosis at any time during the 4-6 years of prior therapy"", ""  No prior or current malignancy except adequately treated basal cell or squamous cell carcinoma of the skin, in situ carcinoma of the cervix or bladder, or contra- or ipsilateral in situ breast carcinoma"", ""  No other nonmalignant systemic diseases (cardiovascular, renal, lung, etc.) that would prevent prolonged follow-up"", ""  No psychiatric, addictive, or any other disorder that compromises compliance with protocol requirements"", ""  PRIOR CONCURRENT THERAPY:"", ""  See Disease Characteristics"", ""  More than 12 months since prior and no other concurrent endocrine SERM/AI therapy"", ""  Any type of prior adjuvant therapy allowed including, but not limited to, any of the following:"", ""  Neoadjuvant chemotherapy"", ""  Neoadjuvant endocrine therapy"", ""  Adjuvant chemotherapy"", ""  Trastuzumab (Herceptin\u00ae)"", ""  Ovarian ablation"", ""  Gonadotropin releasing hormone analogues"", ""  Lapatinib ditosylate"", ""  No concurrent hormone-replacement therapy, bisphosphonates (except for treatment of bone loss), or any other investigational agent""]",Entailment
